Packed Pixel Data (Hex) - Intel Style - 4:2:0, 16-bit
Block (296,0): Cb=8 Cr=6 Y0=73 Y1=7b Y2=73 Y3=7a
Block (298,0): Cb=8 Cr=6 Y0=99 Y1=b0 Y2=8d Y3=a1
Block (0,2): Cb=8 Cr=6 Y0=8c Y1=89 Y2=8c Y3=89
Block (2,2): Cb=8 Cr=6 Y0=88 Y1=87 Y2=89 Y3=88
Block (4,2): Cb=8 Cr=6 Y0=87 Y1=87 Y2=87 Y3=87
Block (6,2): Cb=8 Cr=6 Y0=86 Y1=85 Y2=86 Y3=86
Block (8,2): Cb=8 Cr=6 Y0=85 Y1=86 Y2=85 Y3=86
Block (10,2): Cb=8 Cr=6 Y0=87 Y1=87 Y2=87 Y3=87
Block (12,2): Cb=8 Cr=6 Y0=87 Y1=87 Y2=87 Y3=86
Block (14,2): Cb=8 Cr=6 Y0=87 Y1=89 Y2=87 Y3=89
Block (16,2): Cb=8 Cr=6 Y0=89 Y1=8a Y2=89 Y3=8b
Block (18,2): Cb=7 Cr=7 Y0=8c Y1=90 Y2=8e Y3=92
Block (20,2): Cb=7 Cr=7 Y0=94 Y1=97 Y2=95 Y3=99
Block (22,2): Cb=7 Cr=7 Y0=9d Y1=a2 Y2=9f Y3=a3
Block (24,2): Cb=7 Cr=7 Y0=a8 Y1=ae Y2=aa Y3=b0
Block (26,2): Cb=7 Cr=7 Y0=b6 Y1=be Y2=b8 Y3=bf
Block (28,2): Cb=7 Cr=7 Y0=c4 Y1=cb Y2=c6 Y3=cc
Block (30,2): Cb=7 Cr=7 Y0=d0 Y1=d5 Y2=d1 Y3=d6
Block (32,2): Cb=7 Cr=7 Y0=d8 Y1=dc Y2=d9 Y3=dd
Block (34,2): Cb=7 Cr=7 Y0=e0 Y1=e2 Y2=e0 Y3=e3
Block (36,2): Cb=7 Cr=7 Y0=e4 Y1=e5 Y2=e4 Y3=e6
Block (38,2): Cb=7 Cr=7 Y0=e7 Y1=e8 Y2=e8 Y3=e9
Block (40,2): Cb=7 Cr=7 Y0=ea Y1=e9 Y2=ea Y3=ea
Block (42,2): Cb=7 Cr=7 Y0=ea Y1=ec Y2=eb Y3=ed
Block (44,2): Cb=7 Cr=7 Y0=ed Y1=ec Y2=ef Y3=ef
Block (46,2): Cb=7 Cr=7 Y0=ee Y1=ef Y2=f0 Y3=f2
Block (48,2): Cb=7 Cr=7 Y0=ec Y1=eb Y2=ef Y3=ed
Block (50,2): Cb=7 Cr=7 Y0=e9 Y1=e7 Y2=ec Y3=e8
Block (52,2): Cb=7 Cr=7 Y0=e7 Y1=e5 Y2=e9 Y3=e9
Block (54,2): Cb=7 Cr=8 Y0=e1 Y1=dd Y2=e4 Y3=e0
Block (56,2): Cb=7 Cr=8 Y0=db Y1=d4 Y2=de Y3=d8
Block (58,2): Cb=6 Cr=8 Y0=cd Y1=c8 Y2=d1 Y3=ca
Block (60,2): Cb=5 Cr=8 Y0=c0 Y1=b6 Y2=c4 Y3=ba
Block (62,2): Cb=4 Cr=8 Y0=af Y1=a9 Y2=b1 Y3=a8
Block (64,2): Cb=4 Cr=9 Y0=a4 Y1=a4 Y2=a1 Y3=a2
Block (66,2): Cb=3 Cr=9 Y0=a6 Y1=a8 Y2=a4 Y3=a5
Block (68,2): Cb=3 Cr=9 Y0=ab Y1=ac Y2=a7 Y3=a8
Block (70,2): Cb=3 Cr=9 Y0=ad Y1=ad Y2=a9 Y3=aa
